review_id,firm_name,location,practice_area,source,review_date,rating,review_text,reviewer_role,case_type
HOR-00001,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2024-03-29,1,I would recommend this firm because staff interactions were inconsistent and it was hard to reach anyone Expectations weren’t set clearly.,Family Member,Appeal
HOR-00002,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2026-02-06,4,"From the start, communication was clear and everyone was professional They fought hard and kept me updated.",Family Member,Completed Matter
HOR-00003,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2026-01-07,5,"Throughout the process, billing was explained upfront and the process stayed on track They fought hard and kept me updated.",Family Member,Filing
HOR-00004,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2026-01-14,2,I’m frustrated because staff interactions were inconsistent I didn’t get updates when I expected them.,Former Client,Document Review
HOR-00005,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2026-01-31,2,I’m thankful because updates were slow and the case dragged on longer than expected It felt disorganized at times.,Family Member,Completed Matter
HOR-00006,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2026-01-28,2,I’m thankful because staff interactions were inconsistent I didn’t get updates when I expected them.,Unknown,Appeal
HOR-00007,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2025-08-12,5,"Throughout the process, communication was clear They fought hard and kept me updated.",Former Client,Completed Matter
HOR-00008,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2024-08-18,5,"Throughout the process, everyone was professional I felt like they took my case seriously.",Business Owner,Ongoing Matter
HOR-00009,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2026-01-08,1,"From the start, it was hard to reach anyone I didn’t get updates when I expected them.",Unknown,Document Review
HOR-00010,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2025-08-23,5,"From the start, communication was clear They fought hard and kept me updated.",Business Owner,Consultation
HOR-00011,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2026-02-06,5,"Throughout the process, responses were quick and the outcome met expectations They fought hard and kept me updated.",Former Client,Closing
HOR-00012,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2024-12-13,2,I would recommend this firm because the outcome was disappointing Expectations weren’t set clearly.,Unknown,Closing
HOR-00013,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2025-01-26,4,I’m frustrated because everyone was professional and responses were quick They fought hard and kept me updated.,Unknown,Filing
HOR-00014,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2025-10-08,5,"Throughout the process, the outcome met expectations They set expectations clearly.",Client,Appeal
HOR-00015,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2026-02-17,5,"From the start, the process stayed on track and the outcome met expectations They fought hard and kept me updated.",Client,Completed Matter
HOR-00016,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2026-03-02,2,"In my case, it was hard to reach anyone and the outcome was disappointing It felt disorganized at times.",Client,Closing
HOR-00017,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2026-02-04,5,"After my consultation, the process stayed on track and communication was clear They set expectations clearly.",Former Client,Document Review
HOR-00018,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2026-02-19,4,"After my consultation, everyone was professional and the process stayed on track They set expectations clearly.",Family Member,Closing
HOR-00019,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2024-10-29,1,I’m frustrated because billing felt confusing I didn’t get updates when I expected them.,Unknown,Document Review
HOR-00020,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2026-01-13,2,I’m thankful because updates were slow It felt disorganized at times.,Business Owner,Consultation
HOR-00021,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2025-08-22,5,"After my consultation, everyone was professional and the process stayed on track They set expectations clearly.",Client,Completed Matter
HOR-00022,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2026-02-14,2,"From the start, it was hard to reach anyone and billing felt confusing Expectations weren’t set clearly.",Client,Consultation
HOR-00023,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2025-12-11,4,I wouldn’t recommend this firm because everyone was professional and responses were quick They set expectations clearly.,Family Member,Filing
HOR-00024,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2026-01-10,4,"From the start, billing was explained upfront I felt like they took my case seriously.",Family Member,Closing
HOR-00025,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2026-02-27,5,I’m thankful because responses were quick I felt like they took my case seriously.,Client,Ongoing Matter
HOR-00026,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2026-02-27,5,"From the start, the outcome met expectations and everyone was professional They fought hard and kept me updated.",Business Owner,Filing
HOR-00027,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2026-02-18,5,I’m thankful because billing was explained upfront I felt like they took my case seriously.,Former Client,Completed Matter
HOR-00028,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2025-07-05,4,"Overall, everyone was professional and the process stayed on track They fought hard and kept me updated.",Unknown,Ongoing Matter
HOR-00029,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2024-04-25,5,"Throughout the process, the process stayed on track They set expectations clearly.",Family Member,Closing
HOR-00030,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2026-01-18,2,"Throughout the process, updates were slow and staff interactions were inconsistent I didn’t get updates when I expected them.",Client,Completed Matter
HOR-00031,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2026-01-08,5,"After my consultation, responses were quick They set expectations clearly.",Family Member,Completed Matter
HOR-00032,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2026-02-25,5,I would recommend this firm because the process stayed on track and billing was explained upfront They set expectations clearly.,Unknown,Closing
HOR-00033,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2026-02-23,1,I wouldn’t recommend this firm because staff interactions were inconsistent Expectations weren’t set clearly.,Former Client,Closing
HOR-00034,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2026-02-20,5,I wouldn’t recommend this firm because billing was explained upfront They fought hard and kept me updated.,Client,Completed Matter
HOR-00035,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2026-01-30,5,"After my consultation, responses were quick They set expectations clearly.",Family Member,Document Review
HOR-00036,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2026-02-23,1,I’m frustrated because the case dragged on longer than expected and staff interactions were inconsistent I didn’t get updates when I expected them.,Business Owner,Closing
HOR-00037,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2026-01-02,5,I’m thankful because everyone was professional and responses were quick They set expectations clearly.,Unknown,Consultation
HOR-00038,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Avvo,2026-02-14,4,I’m thankful because everyone was professional and communication was clear They fought hard and kept me updated.,Business Owner,Appeal
HOR-00039,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Yelp,2026-02-01,5,"Overall, billing was explained upfront They set expectations clearly.",Unknown,Ongoing Matter
HOR-00040,Horizon PI & Med Mal,"Phoenix, AZ",Personal Injury,Google,2026-02-16,4,I wouldn’t recommend this firm because communication was clear and the outcome met expectations They fought hard and kept me updated.,Business Owner,Appeal
