review_id,firm_name,location,practice_area,source,review_date,rating,review_text,reviewer_role,case_type
RIV-0001,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Google,2025-03-21,5,I would recommend communication was clear and billing was explained upfront The team was respectful and efficient.,Client,Consultation
RIV-0002,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Facebook,2025-12-16,4,I’m grateful for responses were quick and billing was explained upfront I’d use them again.,Client,Completed Matter
RIV-0003,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Facebook,2026-01-29,3,I’m grateful for updates were slow and billing felt confusing Deadlines felt unpredictable.,Business Owner,Document Review
RIV-0004,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Google,2025-12-06,4,Working with this firm was availability was solid when it mattered and responses were quick The team was respectful and efficient.,Family Member,Ongoing Matter
RIV-0005,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Facebook,2026-01-18,5,I would recommend everyone was professional and billing was explained upfront I’d use them again.,Former Client,Ongoing Matter
RIV-0006,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Facebook,2026-03-03,5,I had a responses were quick The team was respectful and efficient.,Family Member,Completed Matter
RIV-0007,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Google,2024-09-23,4,I would recommend availability was solid when it mattered They kept things moving.,Client,Document Review
RIV-0008,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Facebook,2026-01-25,4,I was disappointed with the process stayed on track and availability was solid when it mattered The team was respectful and efficient.,Client,Appeal
RIV-0009,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Facebook,2026-03-01,4,Working with this firm was the outcome met expectations The team was respectful and efficient.,Family Member,Document Review
RIV-0010,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Google,2024-11-19,5,Working with this firm was everyone was professional and responses were quick They were professional and straightforward.,Former Client,Ongoing Matter
RIV-0011,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Google,2025-09-07,2,I’m grateful for billing felt confusing Communication needs improvement.,Business Owner,Document Review
RIV-0012,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Facebook,2025-02-07,5,I wouldn’t recommend the process stayed on track and billing was explained upfront They kept things moving.,Unknown,Appeal
RIV-0013,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Google,2025-03-13,5,I had a the outcome met expectations They were professional and straightforward.,Family Member,Document Review
RIV-0014,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Google,2026-01-08,3,I’m grateful for I struggled to get timely callbacks and billing felt confusing Billing clarity was lacking.,Family Member,Appeal
RIV-0015,Riverbend Criminal Defense,"Rockford, IL",Criminal Defense,Google,2024-12-10,4,I would recommend the process stayed on track They kept things moving.,Business Owner,Completed Matter
