review_id,firm_name,location,practice_area,source,review_date,rating,review_text,reviewer_role,case_type
MET-00001,Metro Consumer Legal,"Dallas, TX",General Practice,Google,2026-02-24,1,"Throughout the process, the case dragged on longer than expected and staff interactions were inconsistent Billing clarity was lacking.",Former Client,Completed Matter
MET-00002,Metro Consumer Legal,"Dallas, TX",General Practice,Facebook,2026-03-02,1,"Throughout the process, billing felt confusing Billing clarity was lacking.",Business Owner,Ongoing Matter
MET-00003,Metro Consumer Legal,"Dallas, TX",General Practice,Google,2026-03-03,1,"In my case, billing felt confusing and it was hard to reach anyone Communication needs improvement.",Business Owner,Closing
MET-00004,Metro Consumer Legal,"Dallas, TX",General Practice,Facebook,2026-02-21,1,I’m thankful because the outcome was disappointing and billing felt confusing I felt rushed and kept in the dark.,Client,Closing
MET-00005,Metro Consumer Legal,"Dallas, TX",General Practice,Facebook,2026-03-03,1,"Throughout the process, the outcome was disappointing Communication needs improvement.",Business Owner,Closing
MET-00006,Metro Consumer Legal,"Dallas, TX",General Practice,Google,2026-03-02,1,"After my consultation, it was hard to reach anyone I felt rushed and kept in the dark.",Unknown,Completed Matter
MET-00007,Metro Consumer Legal,"Dallas, TX",General Practice,Google,2026-02-23,1,I would recommend this firm because it was hard to reach anyone Communication needs improvement.,Client,Closing
MET-00008,Metro Consumer Legal,"Dallas, TX",General Practice,Facebook,2026-02-21,1,I wouldn’t recommend this firm because the case dragged on longer than expected I felt rushed and kept in the dark.,Unknown,Filing
MET-00009,Metro Consumer Legal,"Dallas, TX",General Practice,Facebook,2026-02-22,1,I wouldn’t recommend this firm because billing felt confusing I felt rushed and kept in the dark.,Client,Consultation
MET-00010,Metro Consumer Legal,"Dallas, TX",General Practice,Facebook,2026-02-24,1,I’m frustrated because updates were slow Billing clarity was lacking.,Family Member,Completed Matter
MET-00011,Metro Consumer Legal,"Dallas, TX",General Practice,Facebook,2026-02-28,1,"In my case, billing felt confusing and the outcome was disappointing Billing clarity was lacking.",Business Owner,Consultation
