review_id,firm_name,location,practice_area,source,review_date,rating,review_text,reviewer_role,case_type
LIG-00001,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-03-03,4,"Overall, communication was clear They were professional and straightforward.",Client,Ongoing Matter
LIG-00002,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-02-21,5,I’m frustrated because responses were quick They were professional and straightforward.,Family Member,Appeal
LIG-00003,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-01-24,5,I’m frustrated because billing was explained upfront They were professional and straightforward.,Unknown,Consultation
LIG-00004,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-02-28,4,"From the start, everyone was professional and billing was explained upfront They were professional and straightforward.",Client,Ongoing Matter
LIG-00005,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-02-10,5,"Overall, the process stayed on track They were professional and straightforward.",Business Owner,Ongoing Matter
LIG-00006,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-01-18,5,"After my consultation, responses were quick They were professional and straightforward.",Unknown,Consultation
LIG-00007,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-02-01,4,"After my consultation, everyone was professional They were professional and straightforward.",Family Member,Appeal
LIG-00008,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-01-22,4,I’m frustrated because everyone was professional and the process stayed on track They were professional and straightforward.,Business Owner,Filing
LIG-00009,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-01-08,4,"Overall, documents were explained clearly and billing was explained upfront They were professional and straightforward.",Family Member,Document Review
LIG-00010,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-03-02,4,"From the start, everyone was professional and billing was explained upfront They were professional and straightforward.",Business Owner,Filing
LIG-00011,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-02-05,4,"In my case, billing was explained upfront They were professional and straightforward.",Business Owner,Completed Matter
LIG-00012,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-01-11,5,I’m frustrated because the process stayed on track and documents were explained clearly They were professional and straightforward.,Business Owner,Filing
LIG-00013,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2025-04-15,5,"Throughout the process, responses were quick and the outcome met expectations They were professional and straightforward.",Client,Closing
LIG-00014,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-01-13,5,"Throughout the process, the outcome met expectations and the process stayed on track They were professional and straightforward.",Family Member,Closing
LIG-00015,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2025-01-16,5,"Overall, responses were quick They were professional and straightforward.",Former Client,Closing
LIG-00016,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2025-06-04,5,"Overall, the outcome met expectations and billing was explained upfront They were professional and straightforward.",Former Client,Document Review
LIG-00017,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2024-03-31,5,"Throughout the process, communication was clear They were professional and straightforward.",Business Owner,Completed Matter
LIG-00018,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-02-02,5,"In my case, communication was clear They were professional and straightforward.",Former Client,Ongoing Matter
LIG-00019,Lighthouse Estate & Probate,"Des Moines, IA",Estate Planning,Google,2026-02-04,4,I’m thankful because the process stayed on track and everyone was professional They were professional and straightforward.,Business Owner,Completed Matter
