review_id,firm_name,location,practice_area,source,review_date,rating,review_text,reviewer_role,case_type
SUM-0001,Summit Employment Counsel,"Madison, WI",Employment Law,Avvo,2025-08-31,4,I wouldn’t recommend strategy was thoughtful and responses were quick The team was respectful and efficient.,Former Client,Document Review
SUM-0002,Summit Employment Counsel,"Madison, WI",Employment Law,Avvo,2026-02-14,4,"Overall, it was a the process stayed on track and strategy was thoughtful They kept things moving.",Business Owner,Completed Matter
SUM-0003,Summit Employment Counsel,"Madison, WI",Employment Law,Google,2025-07-26,4,I’m grateful for communication was clear I’d use them again.,Business Owner,Document Review
SUM-0004,Summit Employment Counsel,"Madison, WI",Employment Law,Avvo,2024-11-08,4,I wouldn’t recommend the outcome met expectations and strategy was thoughtful They kept things moving.,Business Owner,Completed Matter
SUM-0005,Summit Employment Counsel,"Madison, WI",Employment Law,Google,2026-02-13,4,I had a billing was explained upfront and communication was clear They kept things moving.,Former Client,Ongoing Matter
SUM-0006,Summit Employment Counsel,"Madison, WI",Employment Law,Google,2026-01-24,5,I’m grateful for strategy was thoughtful They were professional and straightforward.,Business Owner,Document Review
SUM-0007,Summit Employment Counsel,"Madison, WI",Employment Law,Google,2026-03-02,4,I would recommend communication was clear and strategy was thoughtful They were professional and straightforward.,Client,Ongoing Matter
SUM-0008,Summit Employment Counsel,"Madison, WI",Employment Law,Google,2026-02-09,5,I’m grateful for communication was clear They were professional and straightforward.,Client,Consultation
SUM-0009,Summit Employment Counsel,"Madison, WI",Employment Law,Google,2026-01-20,3,My experience here was billing felt confusing and strategy felt unclear Deadlines felt unpredictable.,Family Member,Completed Matter
SUM-0010,Summit Employment Counsel,"Madison, WI",Employment Law,Google,2025-06-06,4,I had a communication was clear and strategy was thoughtful I’d use them again.,Family Member,Ongoing Matter
SUM-0011,Summit Employment Counsel,"Madison, WI",Employment Law,Avvo,2025-12-31,5,I had a the outcome met expectations I’d use them again.,Former Client,Appeal
SUM-0012,Summit Employment Counsel,"Madison, WI",Employment Law,Avvo,2026-03-01,3,"Overall, it was a strategy felt unclear and updates were slow Communication needs improvement.",Client,Document Review
SUM-0013,Summit Employment Counsel,"Madison, WI",Employment Law,Google,2025-12-03,4,I wouldn’t recommend strategy was thoughtful and responses were quick I’d use them again.,Business Owner,Document Review
